"Student","Class","Method","IssueType","Severity","Details"
"assignment-2-239","Cart","checkMissedCombo","Switch Complexity","HIGH","Method contains 2 switch(es) with 6 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-116","SideItem","getType","Switch Complexity","LOW","Method contains 1 switch(es) with 9 total cases, avg 9.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-230","Combo","adjustPrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-230","Drink","adjustPrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-230","Snack","adjustPrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-232","BurgerShop","addBurger","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 7 total cases, avg 7.0 cases/switch, pattern: FACTORY_PATTERN"
"assignment-2-232","BurgerShop","addSnack","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 5 total cases, avg 5.0 cases/switch, pattern: FACTORY_PATTERN"
"assignment-2-232","BurgerShop","addDrink","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: FACTORY_PATTERN"
"assignment-2-233","Combo","setSizePrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-233","Food","setSizePrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-227","BurgerShop","confirmOrder","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-106","BurgerShop","addSnack","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-106","BurgerShop","addDrink","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-228","Cart","addSide","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-228","Cart","addCombo","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-221","BurgerShop","calculateWaitingTime","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-222","BurgerShop","comboCheck","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-216","ItemMenu; Combos","setCart; setPrice","Missing Inheritance","HIGH","2 methods shared by classes without common superclass"
"assignment-2-211","BurgerShop","confirmOrder","Switch Complexity","HIGH","Method contains 2 switch(es) with 6 total cases, avg 3.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-206","Consumable","""","Redundant Inheritance","HIGH","Class inherits but does not override/reuse superclass methods"
"assignment-2-208","SizedItem","sizing","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-322","Hanbao","""","Redundant Inheritance","HIGH","Class inherits but does not override/reuse superclass methods"
"assignment-2-202","BurgerShop","addCombo","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-203","BurgerShop","confirmOrder","Switch Complexity","HIGH","Method contains 1 switch(es) with 8 total cases, avg 8.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-204","SnackItem","calculateExtraCost","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-320","BurgerShop","orderTimes","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-200","Order; Cart","remove","Missing Inheritance","HIGH","Classes define same method but do not share superclass or interface"
"assignment-2-42","BurgerShop","addSnack","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-42","BurgerShop","addDrink","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-42","BurgerShop","addCombo","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-40","BurgerShop","confirmOrder","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-313","BurgerShop","confirmOrder","Switch Complexity","HIGH","Method contains 2 switch(es) with 4 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-314","CartDetails","sortMenuItems","Switch Complexity","LOW","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-37","BurgerShop","countItems","Switch Complexity","HIGH","Method contains 2 switch(es) with 4 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-36","BurgerShop","GetNameModifier","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-36","BurgerShop","GetPriceModifier","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-36","BurgerShop","confirmOrder","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-35","Cart","checkHasComboItems","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-305","Snacks","calculatePrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-305","Drinks","calculatePrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-306","BurgerShop","missedComboExists","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-306","BurgerShop","calculateWaitTime","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-307","BurgerShop","addSnack","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
